GeneA,GeneB,UniprotA,UniprotB
HIF1A,IL23R,Q16665,Q5VWK5
IL23R,PDF,Q5VWK5,Q9HBH1
IL23R,BET1L,Q5VWK5,Q9NYM9
IL23R,COG3,Q5VWK5,Q96JB2
IL23R,IL19,Q5VWK5,Q9UHD0
IL23R,LHFPL6,Q5VWK5,Q9Y693
IL23R,COG5,Q5VWK5,Q9UP83
IL23R,COG1,Q5VWK5,Q8WTW3
IL23R,GOLPH3,Q5VWK5,Q9H4A6
IL23R,IL23A,Q5VWK5,Q9NPF7
NOS2,NOS2,P35228,P35228
NOS2,NOS2,P35228,P35228
NOS2,NOS2,P35228,P35228
NOS2,UCHL5,P35228,Q9Y5K5
SPSB2,NOS2,Q99619,P35228
SPSB2,NOS2,Q99619,P35228
SPSB4,NOS2,Q96A44,P35228
SPSB1,NOS2,Q96BD6,P35228
NOS2,SPSB1,P35228,Q96BD6
NOS2,SPSB4,P35228,Q96A44
SPSB1,NOS2,Q96BD6,P35228
SPSB4,NOS2,Q96A44,P35228
NOS2,SPSB1,P35228,Q96BD6
NOS2,SPSB2,P35228,Q99619
NOS2,ELOC,P35228,Q15369
NOS2,CUL5,P35228,Q93034
ELOC,NOS2,Q15369,P35228
SPSB2,NOS2,Q99619,P35228
SPSB2,NOS2,Q99619,P35228
SPSB2,NOS2,Q99619,P35228
NOS2,SPSB2,P35228,Q99619
NOS2,SPSB1,P35228,Q96BD6
SPSB1,NOS2,Q96BD6,P35228
NOS2,SLC9A3R1,P35228,O14745
RAC2,NOS2,P15153,P35228
NOS2,RAC2,P35228,P15153
NOS2,RAC1,P35228,P63000
NOS2,RAC2,P35228,P15153
CAV1,NOS2,Q03135,P35228
CAV1,NOS2,Q03135,P35228
NOS2,STUB1,P35228,Q9UNE7
CALM1,NOS2,P0DP23,P35228
CALM1,NOS2,P0DP23,P35228
NOS2,HSP90AA1,P35228,P07900
HSP90AA1,NOS2,P07900,P35228
NOS2,YWHAE,P35228,P62258
NOS2,YWHAG,P35228,P61981
NOS2,YWHAQ,P35228,P27348
NOS2,YWHAZ,P35228,P63104
NOS2,PPP2R1A,P35228,P30153
NOS2,SLC3A2,P35228,P08195
NOS2,SLC25A5,P35228,P05141
NOS2,AIFM1,P35228,O95831
NOS2,AKR1B10,P35228,O60218
NOS2,ALDH1A1,P35228,P00352
NOS2,ASPH,P35228,Q12797
NOS2,ATP2A2,P35228,P16615
NOS2,C1QBP,P35228,Q07021
NOS2,HSPD1,P35228,P10809
NOS2,DDX3X,P35228,O00571
NOS2,DNAJA1,P35228,P31689
NOS2,DNAJA2,P35228,O60884
NOS2,DNAJC7,P35228,Q99615
NOS2,EMD,P35228,P50402
NOS2,FASN,P35228,P49327
NOS2,HSPA9,P35228,P38646
NOS2,HSPA5,P35228,P11021
NOS2,HKDC1,P35228,Q2TB90
NOS2,HNRNPF,P35228,P52597
NOS2,HSPH1,P35228,Q92598
NOS2,HSP90AA1,P35228,P07900
NOS2,HSP90AB1,P35228,P08238
NOS2,HSPA2,P35228,P54652
NOS2,HSPA4,P35228,P34932
NOS2,HSPB1,P35228,P04792
NOS2,HUWE1,P35228,Q7Z6Z7
NOS2,KPNB1,P35228,Q14974
NOS2,KRT18,P35228,P05783
NOS2,SLC7A5,P35228,Q01650
NOS2,SLC25A3,P35228,Q00325
NOS2,NAP1L1,P35228,P55209
NOS2,NPM1,P35228,P06748
NOS2,PCBP1,P35228,Q15365
NOS2,PRKDC,P35228,P78527
NOS2,PSMC6,P35228,P62333
NOS2,PSMC1,P35228,P62191
NOS2,PSMC3,P35228,P17980
NOS2,PSMC4,P35228,P43686
NOS2,PSMC2,P35228,P35998
NOS2,PSMC5,P35228,P62195
NOS2,PSMA1,P35228,P25786
NOS2,PSMA2,P35228,P25787
NOS2,PSMA3,P35228,P25788
NOS2,PSMA5,P35228,P28066
NOS2,PSMA6,P35228,P60900
NOS2,PSMA7,P35228,O14818
NOS2,PSMB7,P35228,Q99436
NOS2,PSMD11,P35228,O00231
NOS2,PSMD12,P35228,O00232
NOS2,PSMD13,P35228,Q9UNM6
NOS2,PSMD7,P35228,P51665
NOS2,PSMD2,P35228,Q13200
NOS2,PSMD3,P35228,O43242
NOS2,PSMD6,P35228,Q15008
NOS2,PSMD8,P35228,P48556
NOS2,CAD,P35228,P27708
NOS2,RCN1,P35228,Q15293
NOS2,RPL23,P35228,P62829
NOS2,RPL31,P35228,P62899
NOS2,RPL5,P35228,P46777
NOS2,RPL7,P35228,P18124
NOS2,HNRNPA1,P35228,P09651
NOS2,RPS17,P35228,P08708
NOS2,RPS18,P35228,P62269
NOS2,RPS3A,P35228,P61247
NOS2,RPS3,P35228,P23396
NOS2,RPS4X,P35228,P62701
NOS2,SNRPB,P35228,P14678
NOS2,RUVBL2,P35228,Q9Y230
NOS2,SKP1,P35228,P63208
NOS2,SQOR,P35228,Q9Y6N5
NOS2,SSBP1,P35228,Q04837
NOS2,SSR4,P35228,P51571
NOS2,STIP1,P35228,P31948
NOS2,TCP1,P35228,P17987
NOS2,CCT2,P35228,P78371
NOS2,CCT4,P35228,P50991
NOS2,CCT5,P35228,P48643
NOS2,CCT3,P35228,P49368
NOS2,CCT7,P35228,Q99832
NOS2,CCT8,P35228,P50990
NOS2,CCT6A,P35228,P40227
NOS2,VCP,P35228,P55072
NOS2,TIMM50,P35228,Q3ZCQ8
NOS2,YBX1,P35228,P67809
NOS2,CALM1,P35228,P0DP23
NOS2,CALU,P35228,O43852
NOS2,ELOB,P35228,Q15370
NOS2,FAT1,P35228,Q14517
NOS2,HERC1,P35228,Q15751
NOS2,CLNS1A,P35228,P54105
NOS2,MYCBP2,P35228,O75592
NOS2,QPCTL,P35228,Q9NXS2
NOS2,ALDH3B1,P35228,P43353
NOS2,BAG2,P35228,O95816
NOS2,CDIPT,P35228,O14735
NOS2,CUL5,P35228,Q93034
NOS2,DICER1,P35228,Q9UPY3
NOS2,DNAJA3,P35228,Q96EY1
NOS2,LGALS3BP,P35228,Q08380
NOS2,PARP4,P35228,Q9UKK3
NOS2,PPM1B,P35228,O75688
NOS2,PPP6C,P35228,O00743
NOS2,PSMD14,P35228,O00487
NOS2,PSMD4,P35228,P55036
NOS2,RCN2,P35228,Q14257
NOS2,TUBB6,P35228,Q9BUF5
NOS2,TNFAIP2,P35228,Q03169
NOS2,UCHL5,P35228,Q9Y5K5
NOS2,COPRS,P35228,Q9NQ92
NOS2,FBXO45,P35228,P0C2W1
NOS2,HSPA6,P35228,P17066
NOS2,ICAM1,P35228,P05362
NOS2,ZSWIM8,P35228,A7E2V4
NOS2,KRT8,P35228,P05787
NOS2,KRT81,P35228,Q14533
NOS2,SERPINE1,P35228,P05121
NOS2,SPSB1,P35228,Q96BD6
NOS2,AGR2,P35228,O95994
NOS2,XRCC5,P35228,P13010
NOS2,NME2,P35228,P22392
NOS2,PCBP2,P35228,Q15366
NOS2,PLEC,P35228,Q15149
NOS2,PSMA4,P35228,P25789
NOS2,HACD3,P35228,Q9P035
NOS2,PTBP1,P35228,P26599
NOS2,TRIM21,P35228,P19474
NOS2,SNRPD3,P35228,P62318
NOS2,SMN1,P35228,Q16637
NOS2,SPSB2,P35228,Q99619
NOS2,STRAP,P35228,Q9Y3F4
NOS2,PTGES3,P35228,Q15185
FBXO45,NOS2,P0C2W1,P35228
NOS2,FBXO45,P35228,P0C2W1
PEX5,NOS2,P50542,P35228
SPSB2,NOS2,Q99619,P35228
ZSWIM8,NOS2,A7E2V4,P35228
PSMD11,NOS2,O00231,P35228
PSMD12,NOS2,O00232,P35228
PSMD14,NOS2,O00487,P35228
DDX3X,NOS2,O00571,P35228
PPP6C,NOS2,O00743,P35228
CDIPT,NOS2,O14735,P35228
SLC9A3R1,NOS2,O14745,P35228
PSMA7,NOS2,O14818,P35228
SYNJ2,NOS2,O15056,P35228
CYP26A1,NOS2,O43174,P35228
PSMD3,NOS2,O43242,P35228
ACTN4,NOS2,O43707,P35228
CALU,NOS2,O43852,P35228
AKR1B10,NOS2,O60218,P35228
KALRN,NOS2,O60229,P35228
DNAJA2,NOS2,O60884,P35228
OPHN1,NOS2,O60890,P35228
NCOR1,NOS2,O75376,P35228
MYCBP2,NOS2,O75592,P35228
PPM1B,NOS2,O75688,P35228
SLC25A12,NOS2,O75746,P35228
PAK3,NOS2,O75914,P35228
PIAS1,NOS2,O75925,P35228
BAG2,NOS2,O95816,P35228
AIFM1,NOS2,O95831,P35228
AGR2,NOS2,O95994,P35228
ALDH1A1,NOS2,P00352,P35228
ASS1,NOS2,P00966,P35228
FOS,NOS2,P01100,P35228
HRAS,NOS2,P01112,P35228
IFNB1,NOS2,P01574,P35228
TNNC2,NOS2,P02585,P35228
ANXA1,NOS2,P04083,P35228
NR3C1,NOS2,P04150,P35228
SOD2,NOS2,P04179,P35228
GAPDH,NOS2,P04406,P35228
HSPB1,NOS2,P04792,P35228
CYBB,NOS2,P04839,P35228
APP,NOS2,P05067,P35228
ARG1,NOS2,P05089,P35228
S100A8,NOS2,P05109,P35228
SERPINE1,NOS2,P05121,P35228
SLC25A5,NOS2,P05141,P35228
ICAM1,NOS2,P05362,P35228
JUN,NOS2,P05412,P35228
KRT18,NOS2,P05783,P35228
KRT8,NOS2,P05787,P35228
MYL1,NOS2,P05976,P35228
S100A9,NOS2,P06702,P35228
FCER2,NOS2,P06734,P35228
NPM1,NOS2,P06748,P35228
HSP90AA1,NOS2,P07900,P35228
SP1,NOS2,P08047,P35228
IGF1R,NOS2,P08069,P35228
SLC3A2,NOS2,P08195,P35228
HSP90AB1,NOS2,P08238,P35228
RPS17,NOS2,P08708,P35228
HMOX1,NOS2,P09601,P35228
PDGFRB,NOS2,P09619,P35228
HNRNPA1,NOS2,P09651,P35228
FBXO45,NOS2,P0C2W1,P35228
CALM1,NOS2,P0DP23,P35228
CXCL8,NOS2,P10145,P35228
HSPD1,NOS2,P10809,P35228
IRF1,NOS2,P10914,P35228
HSPA5,NOS2,P11021,P35228
MYL4,NOS2,P12829,P35228
SRC,NOS2,P12931,P35228
XRCC5,NOS2,P13010,P35228
SNRPB,NOS2,P14678,P35228
HNRNPL,NOS2,P14866,P35228
RAC2,NOS2,P15153,P35228
EZR,NOS2,P15311,P35228
ATF2,NOS2,P15336,P35228
FOSL1,NOS2,P15407,P35228
FOSL2,NOS2,P15408,P35228
VAV1,NOS2,P15498,P35228
CREB1,NOS2,P16220,P35228
PDGFRA,NOS2,P16234,P35228
POR,NOS2,P16435,P35228
ATP2A2,NOS2,P16615,P35228
HSPA6,NOS2,P17066,P35228
PRKCA,NOS2,P17252,P35228
JUNB,NOS2,P17275,P35228
JUND,NOS2,P17535,P35228
ATF7,NOS2,P17544,P35228
PRKACA,NOS2,P17612,P35228
CEBPB,NOS2,P17676,P35228
PSMC3,NOS2,P17980,P35228
TCP1,NOS2,P17987,P35228
RPL7,NOS2,P18124,P35228
ATF3,NOS2,P18847,P35228
ATF4,NOS2,P18848,P35228
TRIM21,NOS2,P19474,P35228
CSNK2A2,NOS2,P19784,P35228
NFKB1,NOS2,P19838,P35228
NCF2,NOS2,P19878,P35228
TBP,NOS2,P20226,P35228
BCL3,NOS2,P20749,P35228
NME2,NOS2,P22392,P35228
RPS3,NOS2,P23396,P35228
PSMA1,NOS2,P25786,P35228
PSMA2,NOS2,P25787,P35228
PSMA3,NOS2,P25788,P35228
PSMA4,NOS2,P25789,P35228
PTBP1,NOS2,P26599,P35228
YWHAQ,NOS2,P27348,P35228
CAD,NOS2,P27708,P35228
PSMA5,NOS2,P28066,P35228
MAPK1,NOS2,P28482,P35228
NOS3,NOS2,P29474,P35228
NOS1,NOS2,P29475,P35228
PPP2R1A,NOS2,P30153,P35228
SRI,NOS2,P30626,P35228
S100A7,NOS2,P31151,P35228
DNAJA1,NOS2,P31689,P35228
AKT1,NOS2,P31749,P35228
STIP1,NOS2,P31948,P35228
L1CAM,NOS2,P32004,P35228
PRDX2,NOS2,P32119,P35228
HSPA4,NOS2,P34932,P35228
CTNNB1,NOS2,P35222,P35228
NOS2,CAMK2G,P35228,Q13555
NOS2,STRAP,P35228,Q9Y3F4
NOS2,PRKCZ,P35228,Q05513
NOS2,CCT7,P35228,Q99832
NOS2,PSMD13,P35228,Q9UNM6
NOS2,LYZ,P35228,P61626
NOS2,ARHGDIB,P35228,P52566
NOS2,C1QBP,P35228,Q07021
NOS2,SKP1,P35228,P63208
NOS2,NAP1L1,P35228,P55209
NOS2,PSMC5,P35228,P62195
NOS2,RELA,P35228,Q04206
NOS2,CREBBP,P35228,Q92793
NOS2,IKZF1,P35228,Q13422
NOS2,ARG2,P35228,P78540
NOS2,PTH1R,P35228,Q03431
NOS2,CCT5,P35228,P48643
NOS2,KLF6,P35228,Q99612
NOS2,VCP,P35228,P55072
NOS2,CCT4,P35228,P50991
NOS2,SETD2,P35228,Q9BYW2
NOS2,PARD6A,P35228,Q9NPB6
NOS2,ESR2,P35228,Q92731
NOS2,PPP1R13L,P35228,Q8WUF5
NOS2,YWHAG,P35228,P61981
NOS2,ELAVL1,P35228,Q15717
NOS2,KHSRP,P35228,Q92945
NOS2,DEFA3,P35228,P59666
NOS2,GMPS,P35228,P49915
NOS2,RPS18,P35228,P62269
NOS2,HDAC1,P35228,Q13547
NOS2,PEX5,P35228,P50542
NOS2,CUL5,P35228,Q93034
NOS2,YWHAZ,P35228,P63104
NOS2,PSMB7,P35228,Q99436
NOS2,SQOR,P35228,Q9Y6N5
NOS2,NR4A2,P35228,P43354
NOS2,RCN1,P35228,Q15293
NOS2,HNRNPF,P35228,P52597
NOS2,PLA2G4A,P35228,P47712
NOS2,NOX5,P35228,Q96PH1
NOS2,RPL5,P35228,P46777
NOS2,ELOC,P35228,Q15369
NOS2,SPSB4,P35228,Q96A44
NOS2,YAP1,P35228,P46937
NOS2,REL,P35228,Q04864
NOS2,CSNK2A1,P35228,P68400
NOS2,DOCK2,P35228,Q92608
NOS2,LGALS3BP,P35228,Q08380
NOS2,SMN1;SMN2,P35228,
NOS2,BRCA1,P35228,P38398
NOS2,NR0B2,P35228,Q15466
NOS2,ASPH,P35228,Q12797
NOS2,OPRK1,P35228,P41145
NOS2,UCHL5,P35228,Q9Y5K5
NOS2,TAF4B,P35228,Q92750
NOS2,RUNX2,P35228,Q13950
NOS2,GTF2B,P35228,Q00403
NOS2,HERC1,P35228,Q15751
NOS2,FOSB,P35228,P53539
NOS2,RPL23,P35228,P62829
NOS2,FASN,P35228,P49327
NOS2,HACD3,P35228,Q9P035
NOS2,CLNS1A,P35228,P54105
NOS2,PAG1,P35228,Q9NWQ8
NOS2,RCN2,P35228,Q14257
NOS2,NOXA1,P35228,Q86UR1
NOS2,CYP26C1,P35228,Q6V0L0
NOS2,GUCY1A1,P35228,
NOS2,PSMD6,P35228,Q15008
NOS2,TIMM50,P35228,Q3ZCQ8
NOS2,DNAJA3,P35228,Q96EY1
NOS2,ASCC1,P35228,Q8N9N2
NOS2,RELB,P35228,Q01201
NOS2,ADRM1,P35228,Q16186
NOS2,SNRPD3,P35228,P62318
NOS2,RAC1,P35228,P63000
NOS2,NCKIPSD,P35228,Q9NZQ3
NOS2,COPRS,P35228,Q9NQ92
NOS2,PLEC,P35228,Q15149
NOS2,PCBP1,P35228,Q15365
NOS2,ARHGDIA,P35228,P52565
NOS2,KRT81,P35228,Q14533
NOS2,S100A12,P35228,P80511
NOS2,CYP26B1,P35228,Q9NR63
NOS2,DNAJC7,P35228,Q99615
NOS2,APBA2,P35228,Q99767
NOS2,TRIP6,P35228,Q15654
NOS2,SIRT1,P35228,Q96EB6
NOS2,PRKCE,P35228,Q02156
NOS2,STUB1,P35228,Q9UNE7
NOS2,PSMC2,P35228,P35998
NOS2,CYB5R4,P35228,Q7L1T6
NOS2,SSR4,P35228,P51571
NOS2,PSMC1,P35228,P62191
NOS2,SLC25A3,P35228,Q00325
NOS2,MAPRE3,P35228,Q9UPY8
NOS2,IRF7,P35228,Q92985
NOS2,YBX1,P35228,P67809
NOS2,NFKB2,P35228,Q00653
NOS2,PARP4,P35228,Q9UKK3
NOS2,QPCTL,P35228,Q9NXS2
NOS2,AKTIP,P35228,Q9H8T0
NOS2,PRKDC,P35228,P78527
NOS2,RUNX1,P35228,Q01196
NOS2,IKBKE,P35228,Q14164
NOS2,ACTB,P35228,P60709
NOS2,DICER1,P35228,Q9UPY3
NOS2,SPSB1,P35228,Q96BD6
NOS2,EMD,P35228,P50402
NOS2,ELOB,P35228,Q15370
NOS2,NOTCH1,P35228,P46531
NOS2,HKDC1,P35228,Q2TB90
NOS2,CCT8,P35228,P50990
NOS2,SSBP1,P35228,Q04837
NOS2,ASCC3,P35228,Q8N3C0
NOS2,IRF8,P35228,Q02556
NOS2,CYFIP1,P35228,Q7L576
NOS2,PPP2CA,P35228,P67775
NOS2,ARHGEF4,P35228,Q9NR80
NOS2,RPS3A,P35228,P61247
NOS2,PCBP2,P35228,Q15366
NOS2,NFATC2,P35228,Q13469
NOS2,HSPH1,P35228,Q92598
NOS2,PSMD8,P35228,P48556
NOS2,NOX1,P35228,Q9Y5S8
NOS2,SDF4,P35228,Q9BRK5
NOS2,-,P35228,
NOS2,DDX21,P35228,Q9NR30
NOS2,PSMD4,P35228,P55036
NOS2,ITCH,P35228,Q96J02
NOS2,NOX4,P35228,Q9NPH5
NOS2,RPS4X,P35228,P62701
NOS2,RCOR1,P35228,Q9UKL0
NOS2,PAK2,P35228,Q13177
NOS2,SH3RF1,P35228,Q7Z6J0
NOS2,ASCC2,P35228,Q9H1I8
NOS2,CAMKK1,P35228,Q8N5S9
NOS2,NCOA1,P35228,Q15788
NOS2,PDZK1,P35228,Q5T2W1
NOS2,SPSB2,P35228,Q99619
NOS2,IL2,P35228,P60568
NOS2,PSMD2,P35228,Q13200
NOS2,GUCY1B1,P35228,
NOS2,PTGES3,P35228,Q15185
NOS2,PSMC6,P35228,P62333
NOS2,TUBB6,P35228,Q9BUF5
NOS2,STAT3,P35228,P40763
NOS2,SLC4A8,P35228,Q2Y0W8
NOS2,PSMA6,P35228,P60900
NOS2,DOCK1,P35228,Q14185
NOS2,CCT3,P35228,P49368
NOS2,PSMD7,P35228,P51665
NOS2,CCT6A,P35228,P40227
NOS2,JDP2,P35228,Q8WYK2
NOS2,CAV1,P35228,Q03135
NOS2,HSPA9,P35228,P38646
NOS2,NOS2,P35228,P35228
NOS2,KCNJ1,P35228,P48048
NOS2,PPRC1,P35228,Q5VV67
NOS2,EP300,P35228,Q09472
NOS2,CCT2,P35228,P78371
NOS2,SMAD3,P35228,P84022
NOS2,NCOR2,P35228,Q9Y618
NOS2,HUWE1,P35228,Q7Z6Z7
NOS2,PTGS2,P35228,P35354
NOS2,RPL31,P35228,P62899
NOS2,ALDH3B1,P35228,P43353
NOS2,TNFAIP2,P35228,Q03169
NOS2,IQGAP2,P35228,Q13576
NOS2,STAT2,P35228,P52630
NOS2,SLC7A5,P35228,Q01650
NOS2,P2RY1,P35228,P47900
NOS2,PSMC4,P35228,P43686
NOS2,MAPK11,P35228,Q15759
NOS2,HSPA2,P35228,P54652
NOS2,CRYZ,P35228,Q08257
NOS2,UBA52,P35228,P62987
NOS2,STAT1,P35228,P42224
NOS2,YWHAE,P35228,P62258
NOS2,KPNB1,P35228,Q14974
NOS2,DEFA1;DEFA1B,P35228,
NOS2,RUVBL2,P35228,Q9Y230
NOS2,FAT1,P35228,Q14517
IFNAR1,TYK2,P17181,P29597
IFNAR1,AP2M1,P17181,Q96CW1
IFNAR1,TYK2,P17181,P29597
IFNAR1,STAT2,P17181,P52630
IFNAR1,PRMT1,P17181,Q99873
IFNAR1,PRMT1,P17181,Q99873
IFNAR1,FBXW11,P17181,Q9UKB1
IFNAR1,TYK2,P17181,P29597
FBXW11,IFNAR1,Q9UKB1,P17181
FBXW11,IFNAR1,Q9UKB1,P17181
IFNAR1,FBXW11,P17181,Q9UKB1
FBXW11,IFNAR1,Q9UKB1,P17181
PRKD2,IFNAR1,Q9BZL6,P17181
IFNAR1,PRKD2,P17181,Q9BZL6
IFNAR1,BTRC,P17181,Q9Y297
IFNAR1,SOCS1,P17181,O15524
IFNAR1,BTRC,P17181,Q9Y297
IFNAR1,FBXW11,P17181,Q9UKB1
IFNAR1,AP2M1,P17181,Q96CW1
IFNAR1,PIK3R1,P17181,P27986
IFNAR1,STAT2,P17181,P52630
IFNAR1,TYK2,P17181,P29597
IFNAR1,STAT2,P17181,P52630
IFNAR1,STAT2,P17181,P52630
IFNAR1,STAT3,P17181,P40763
IFNAR1,STAT6,P17181,P42226
RACK1,IFNAR1,P63244,P17181
IFNAR1,IFNAR2,P17181,P48551
IFNB1,IFNAR1,P01574,P17181
BTRC,IFNAR1,Q9Y297,P17181
TNFRSF10A,IFNAR1,O00220,P17181
TNFRSF10A,IFNAR1,O00220,P17181
NFKBIE,IFNAR1,O00221,P17181
SOCS6,IFNAR1,O14544,P17181
IKBKB,IFNAR1,O14920,P17181
GAK,IFNAR1,O14976,P17181
CHUK,IFNAR1,O15111,P17181
TP73,IFNAR1,O15350,P17181
TLR3,IFNAR1,O15455,P17181
CFLAR,IFNAR1,O15519,P17181
SOCS1,IFNAR1,O15524,P17181
MAP3K7,IFNAR1,O43318,P17181
HNRNPR,IFNAR1,O43390,P17181
TGOLN2,IFNAR1,O43493,P17181
TNFSF14,IFNAR1,O43557,P17181
JAK2,IFNAR1,O60674,P17181
SOCS5,IFNAR1,O75159,P17181
PIAS1,IFNAR1,O75925,P17181
TRIM16,IFNAR1,O95361,P17181
ABL1,IFNAR1,P00519,P17181
EGFR,IFNAR1,P00533,P17181
F2,IFNAR1,P00734,P17181
C3,IFNAR1,P01024,P17181
PRL,IFNAR1,P01236,P17181
GH1,IFNAR1,P01241,P17181
IFNA1;IFNA13,IFNAR1,,P17181
IFNA2,IFNAR1,P01563,P17181
IFNA10,IFNAR1,P01566,P17181
IFNA7,IFNAR1,P01567,P17181
IFNA21,IFNAR1,P01568,P17181
IFNA5,IFNAR1,P01569,P17181
IFNA14,IFNAR1,P01570,P17181
IFNA17,IFNAR1,P01571,P17181
IFNB1,IFNAR1,P01574,P17181
IL1B,IFNAR1,P01584,P17181
CD4,IFNAR1,P01730,P17181
CD8A,IFNAR1,P01732,P17181
FN1,IFNAR1,P02751,P17181
CSF2,IFNAR1,P04141,P17181
ERBB2,IFNAR1,P04626,P17181
TP53,IFNAR1,P04637,P17181
IFNW1,IFNAR1,P05000,P17181
IFNA6,IFNAR1,P05013,P17181
IFNA4,IFNAR1,P05014,P17181
IFNA16,IFNAR1,P05015,P17181
INHA,IFNAR1,P05111,P17181
IL4,IFNAR1,P05112,P17181
IL6,IFNAR1,P05231,P17181
JUN,IFNAR1,P05412,P17181
INSR,IFNAR1,P06213,P17181
LCK,IFNAR1,P06239,P17181
CD3E,IFNAR1,P07766,P17181
INHBA,IFNAR1,P08476,P17181
PTPRC,IFNAR1,P08575,P17181
IL6R,IFNAR1,P08887,P17181
CD7,IFNAR1,P09564,P17181
PDGFRB,IFNAR1,P09619,P17181
FGR,IFNAR1,P09769,P17181
IFI6,IFNAR1,P09912,P17181
IFIT2,IFNAR1,P09913,P17181
CD28,IFNAR1,P10747,P17181
GHR,IFNAR1,P10912,P17181
IRF1,IFNAR1,P10914,P17181
CD8B,IFNAR1,P10966,P17181
SCGB1A1,IFNAR1,P11684,P17181
SRC,IFNAR1,P12931,P17181
IFITM1,IFNAR1,P13164,P17181
F3,IFNAR1,P13726,P17181
IRF2,IFNAR1,P14316,P17181
IL2RB,IFNAR1,P14784,P17181
LIF,IFNAR1,P15018,P17181
IFNGR1,IFNAR1,P15260,P17181
ATF2,IFNAR1,P15336,P17181
VAV1,IFNAR1,P15498,P17181
RPA2,IFNAR1,P15927,P17181
PRLR,IFNAR1,P16471,P17181
IL7R,IFNAR1,P16871,P17181
IFNAR1,EFNB1,P17181,P98172
IFNAR1,JAK1,P17181,P23458
IFNAR1,VSIG4,P17181,Q9Y279
IFNAR1,CD86,P17181,P42081
IFNAR1,NLK,P17181,Q9UBE8
IFNAR1,PRKD2,P17181,Q9BZL6
IFNAR1,IL20RA,P17181,Q9UHF4
IFNAR1,IL4R,P17181,P24394
IFNAR1,RACK1,P17181,P63244
IFNAR1,CREBBP,P17181,Q92793
IFNAR1,MX1,P17181,P20591
IFNAR1,MICB,P17181,Q29980
IFNAR1,MAPK10,P17181,P53779
IFNAR1,EP300,P17181,Q09472
IFNAR1,GP6,P17181,Q9HCN6
IFNAR1,WEE1,P17181,P30291
IFNAR1,CRKL,P17181,P46109
IFNAR1,PTPN2,P17181,P17706
IFNAR1,CD83,P17181,Q01151
IFNAR1,IL20RB,P17181,Q6UXL0
IFNAR1,TRAF3,P17181,Q13114
IFNAR1,USP18,P17181,Q9UMW8
IFNAR1,STAT2,P17181,P52630
IFNAR1,IL22,P17181,Q9GZX6
IFNAR1,IRF9,P17181,Q00978
IFNAR1,IL19,P17181,Q9UHD0
IFNAR1,IRF3,P17181,Q14653
IFNAR1,IL18,P17181,Q14116
IFNAR1,BTRC,P17181,Q9Y297
IFNAR1,PDCD1LG2,P17181,Q9BQ51
IFNAR1,EBI3,P17181,Q14213
IFNAR1,IL10RA,P17181,Q13651
IFNAR1,TRIM25,P17181,Q14258
IFNAR1,PTAFR,P17181,P25105
IFNAR1,AP2M1,P17181,Q96CW1
IFNAR1,GRB2,P17181,P62993
IFNAR1,IRF8,P17181,Q02556
IFNAR1,USP7,P17181,Q93009
IFNAR1,IFNGR2,P17181,P38484
IFNAR1,RIPK1,P17181,Q13546
IFNAR1,AP2B1,P17181,P63010
IFNAR1,IL6ST,P17181,P40189
IFNAR1,IFNAR2,P17181,P48551
IFNAR1,TRAF2,P17181,Q12933
IFNAR1,PTPN1,P17181,P18031
IFNAR1,IL20,P17181,Q9NYY1
IFNAR1,IL21,P17181,Q9HBE4
IFNAR1,CD47,P17181,Q08722
IFNAR1,STAT6,P17181,P42226
IFNAR1,IL10RB,P17181,Q08334
IFNAR1,STAT5A,P17181,P42229
IFNAR1,RNF135,P17181,Q8IUD6
IFNAR1,IL27RA,P17181,Q6UWB1
IFNAR1,IL12A,P17181,P29459
IFNAR1,IL22RA1,P17181,Q8N6P7
IFNAR1,PRMT1,P17181,Q99873
IFNAR1,CD40LG,P17181,P29965
IFNAR1,IL2RG,P17181,P31785
IFNAR1,PTPN11,P17181,Q06124
IFNAR1,PLAUR,P17181,Q03405
IFNAR1,CDC25A,P17181,P30304
IFNAR1,AGER,P17181,Q15109
IFNAR1,IL12RB2,P17181,Q99665
IFNAR1,CD274,P17181,Q9NZQ7
IFNAR1,PTPN6,P17181,P29350
IFNAR1,CD80,P17181,P33681
IFNAR1,KLRK1,P17181,P26718
IFNAR1,SRI,P17181,P30626
IFNAR1,CADM1,P17181,Q9BY67
IFNAR1,JAK3,P17181,P52333
IFNAR1,MTOR,P17181,P42345
IFNAR1,FBXW11,P17181,Q9UKB1
IFNAR1,Interferon alpha 2b,P17181,
IFNAR1,IL31RA,P17181,"Q8NI17
"
IFNAR1,CDC34,P17181,P49427
IFNAR1,MALT1,P17181,Q9UDY8
IFNAR1,KHDRBS1,P17181,Q07666
IFNAR1,LCP2,P17181,Q13094
IFNAR1,TRAF1,P17181,Q13077
IFNAR1,APEX1,P17181,P27695
IFNAR1,IFNA8,P17181,P32881
IFNAR1,MAPK1,P17181,P28482
IFNAR1,OSMR,P17181,Q99650
IFNAR1,PIK3R1,P17181,P27986
IFNAR1,MAPK14,P17181,Q16539
IFNAR1,STAT3,P17181,P40763
IFNAR1,SLAMF7,P17181,Q9NQ25
IFNAR1,TREML1,P17181,Q86YW5
IFNAR1,CNTF,P17181,P26441
IFNAR1,STAT1,P17181,P42224
IFNAR1,AXL,P17181,P30530
