GeneA,GeneB,UniprotA,UniprotB,DataSource
ADAM30,SEMA6A,Q9UKF2,Q9H2E6,BioGrid
ADAM30,CANX,Q9UKF2,P27824,BioGrid
ADAM30,USP30,Q9UKF2,Q70CQ3,BioGrid
ADAM30,MTF2,Q9UKF2,Q9Y483,BioGrid
ADAM30,SPCS2,Q9UKF2,Q15005,BioGrid
ADAM30,PLXNA2,Q9UKF2,O75051,BioGrid
ADAM30,METTL7B,Q9UKF2,Q6UX53,BioGrid
CPEB4,NDST1,Q17RY0,P52848,BioGrid
CPEB4,UBE3C,Q17RY0,Q15386,BioGrid
SAV1,CPEB4,Q9H4B6,Q17RY0,BioGrid
BMI1,CPEB4,P35226,Q17RY0,BioGrid
CREB5,CREB5,Q02930,Q02930,BioGrid
CREB5,JUN,Q02930,P05412,BioGrid
CREB5,ATF7,Q02930,P17544,BioGrid
CREB5,ATF2,Q02930,P15336,BioGrid
CREB5,JUND,Q02930,P17535,BioGrid
CREB5,JUN,Q02930,P05412,BioGrid
CREB5,BACH1,Q02930,O14867,BioGrid
FOSL2,CREB5,P15408,Q02930,BioGrid
FOS,CREB5,P01100,Q02930,BioGrid
LGR4,CREB5,Q9BXB1,Q02930,BioGrid
TRIM23,CREB5,P36406,Q02930,BioGrid
COL8A1,CREB5,P27658,Q02930,BioGrid
FOS,CREB5,P01100,Q02930,BioGrid
FOSL2,CREB5,P15408,Q02930,BioGrid
KIFC3,CREB5,Q9BVG8,Q02930,BioGrid
KRT15,CREB5,P19012,Q02930,BioGrid
MDFI,CREB5,Q99750,Q02930,BioGrid
BRCA1,CREB5,P38398,Q02930,BioGrid
TRAF2,CREB5,Q12933,Q02930,BioGrid
TRIP6,CREB5,Q15654,Q02930,BioGrid
FOSL1,CREB5,P15407,Q02930,BioGrid
RGS20,CREB5,O76081,Q02930,BioGrid
CREB5,SPRY1,Q02930,O43609,BioGrid
CREB5,SPRY2,Q02930,O43597,BioGrid
CREB5,RBPMS,Q02930,Q93062,BioGrid
CREB5,MTUS2,Q02930,Q5JR59,BioGrid
CREB5,EFEMP2,Q02930,O95967,BioGrid
CREB5,ADAMTSL4,Q02930,Q6UY14,BioGrid
CREB5,TSGA10,Q02930,Q9BZW7,BioGrid
CREB5,KRTAP4-12,Q02930,Q9BQ66,BioGrid
CREB5,KRTAP3-2,Q02930,Q9BYR7,BioGrid
CREB5,KRTAP9-2,Q02930,Q9BYQ4,BioGrid
CREB5,KRTAP9-4,Q02930,Q9BYQ2,BioGrid
CREB5,KRTAP4-2,Q02930,Q9BYR5,BioGrid
CREB5,RIMBP3,Q02930,Q9UFD9,BioGrid
CREB5,KRT40,Q02930,Q6A162,BioGrid
CREB5,MGAT5B,Q02930,Q3V5L5,BioGrid
CREB5,KRTAP10-7,Q02930,P60409,BioGrid
CREB5,KRTAP10-9,Q02930,P60411,BioGrid
CREB5,KRTAP10-1,Q02930,P60331,BioGrid
CREB5,KRTAP10-11,Q02930,P60412,BioGrid
CREB5,KRTAP10-5,Q02930,P60370,BioGrid
CREB5,KRTAP10-8,Q02930,P60410,BioGrid
CREB5,KRTAP10-3,Q02930,P60369,BioGrid
CREB5,NOTCH2NLA,Q02930,,BioGrid
CREB5,KRTAP5-6,Q02930,Q6L8G9,BioGrid
JUN,CREB5,P05412,Q02930,BioGrid
EWSR1,CREB5,Q01844,Q02930,BioGrid
JUN,CREB5,P05412,Q02930,BioGrid
LGALS13,CREB5,Q9UHV8,Q02930,BioGrid
KRTAP5-9,CREB5,P26371,Q02930,BioGrid
FOS,CREB5,P01100,Q02930,BioGrid
ARIH1,CREB5,Q9Y4X5,Q02930,BioGrid
CREB5,ATF2,Q02930,P15336,BioGrid
CREB5,BACH1,Q02930,O14867,BioGrid
JUNB,CREB5,P17275,Q02930,BioGrid
FOSL2,CREB5,P15408,Q02930,BioGrid
CREB5,ATF7,Q02930,P17544,BioGrid
MLLT6,CREB5,P55198,Q02930,BioGrid
BATF3,CREB5,Q9NR55,Q02930,BioGrid
PPP2R2D,CREB5,Q66LE6,Q02930,BioGrid
CREB5,JUN,Q02930,P05412,BioGrid
CREB5,JUND,Q02930,P17535,BioGrid
ZDHHC17,FUT2,Q8IUH5,Q10981,BioGrid
OTUD5,GPX4,Q96G74,P36969,BioGrid
GPX4,AKR1B1,P36969,P15121,BioGrid
GPX4,ALDOA,P36969,P04075,BioGrid
GPX4,ALDOC,P36969,P09972,BioGrid
GPX4,DUT,P36969,P33316,BioGrid
GPX4,ENO1,P36969,P06733,BioGrid
GPX4,ENO2,P36969,P09104,BioGrid
GPX4,ENO3,P36969,P13929,BioGrid
GPX4,FKBP1A,P36969,P62942,BioGrid
GPX4,GLRX2,P36969,Q9NS18,BioGrid
ERO1B,GPX4,Q86YB8,P36969,BioGrid
ETFA,GPX4,P13804,P36969,BioGrid
ETFB,GPX4,P38117,P36969,BioGrid
EZR,GPX4,P15311,P36969,BioGrid
FKBP2,GPX4,P26885,P36969,BioGrid
HINT1,GPX4,P49773,P36969,BioGrid
HSD17B10,GPX4,Q99714,P36969,BioGrid
IMPA2,GPX4,O14732,P36969,BioGrid
NUTF2,GPX4,P61970,P36969,BioGrid
PGAM4,GPX4,Q8N0Y7,P36969,BioGrid
SOD1,GPX4,P00441,P36969,BioGrid
SOD2,GPX4,P04179,P36969,BioGrid
TAGLN,GPX4,Q01995,P36969,BioGrid
TAGLN2,GPX4,P37802,P36969,BioGrid
TKT,GPX4,P29401,P36969,BioGrid
UCHL3,GPX4,P15374,P36969,BioGrid
VDAC1,GPX4,P21796,P36969,BioGrid
VDAC2,GPX4,P45880,P36969,BioGrid
GPX4,HSPE1,P36969,P61604,BioGrid
GPX4,MAPK13,P36969,O15264,BioGrid
GPX4,PRDX6,P36969,P30041,BioGrid
OTUB1,GPX4,Q96FW1,P36969,BioGrid
GPX4,ME1,P36969,P48163,BioGrid
GPX4,PIN1,P36969,Q13526,BioGrid
GPX4,PPIF,P36969,P30405,BioGrid
GPX4,PRDX2,P36969,P32119,BioGrid
GPX4,PRDX6,P36969,P30041,BioGrid
CEP170,GPX4,Q5SW79,P36969,BioGrid
GPX4,STIP1,P36969,P31948,BioGrid
GSTO2,GPX4,Q9H4Y5,P36969,BioGrid
IFNAR1,TYK2,P17181,P29597,BioGrid
IFNAR1,AP2M1,P17181,Q96CW1,BioGrid
IFNAR1,TYK2,P17181,P29597,BioGrid
IFNAR1,STAT2,P17181,P52630,BioGrid
IFNAR1,PRMT1,P17181,Q99873,BioGrid
IFNAR1,PRMT1,P17181,Q99873,BioGrid
IFNAR1,FBXW11,P17181,Q9UKB1,BioGrid
IFNAR1,TYK2,P17181,P29597,BioGrid
FBXW11,IFNAR1,Q9UKB1,P17181,BioGrid
FBXW11,IFNAR1,Q9UKB1,P17181,BioGrid
IFNAR1,FBXW11,P17181,Q9UKB1,BioGrid
FBXW11,IFNAR1,Q9UKB1,P17181,BioGrid
PRKD2,IFNAR1,Q9BZL6,P17181,BioGrid
IFNAR1,PRKD2,P17181,Q9BZL6,BioGrid
IFNAR1,BTRC,P17181,Q9Y297,BioGrid
IFNAR1,SOCS1,P17181,O15524,BioGrid
IFNAR1,BTRC,P17181,Q9Y297,BioGrid
IFNAR1,FBXW11,P17181,Q9UKB1,BioGrid
IFNAR1,AP2M1,P17181,Q96CW1,BioGrid
IFNAR1,PIK3R1,P17181,P27986,BioGrid
IFNAR1,STAT2,P17181,P52630,BioGrid
IFNAR1,TYK2,P17181,P29597,BioGrid
IFNAR1,STAT2,P17181,P52630,BioGrid
IFNAR1,STAT2,P17181,P52630,BioGrid
IFNAR1,STAT3,P17181,P40763,BioGrid
IFNAR1,STAT6,P17181,P42226,BioGrid
RACK1,IFNAR1,P63244,P17181,BioGrid
IFNAR1,IFNAR2,P17181,P48551,BioGrid
IFNB1,IFNAR1,P01574,P17181,BioGrid
BTRC,IFNAR1,Q9Y297,P17181,BioGrid
TNFRSF10A,IFNAR1,O00220,P17181,BioGrid
IFNG,IFNGR2,P01579,P38484,BioGrid
IFNGR2,JAK2,P38484,O60674,BioGrid
DNAJA3,IFNGR2,Q96EY1,P38484,BioGrid
CAMK2D,IFNGR2,Q13557,P38484,BioGrid
IFNGR2,RPL37A,P38484,P61513,BioGrid
ELAVL1,IFNGR2,Q15717,P38484,BioGrid
IL31RA,LGALS3,"Q8NI17
",P17931,BioGrid
IL31RA,ACADVL,"Q8NI17
",P49748,BioGrid
IL31RA,PROCR,"Q8NI17
",Q9UNN8,BioGrid
IL31RA,TRIM29,"Q8NI17
",Q14134,BioGrid
IL31RA,SERPINB5,"Q8NI17
",P36952,BioGrid
IL31RA,GPNMB,"Q8NI17
",Q14956,BioGrid
IL31RA,CALHM4,"Q8NI17
",Q5JW98,BioGrid
IL31RA,LYG2,"Q8NI17
",Q86SG7,BioGrid
IL31RA,PLBD1,"Q8NI17
",Q6P4A8,BioGrid
IL31RA,PADI3,"Q8NI17
",Q9ULW8,BioGrid
IL31RA,S100A3,"Q8NI17
",P33764,BioGrid
IL31RA,CRYBG1,"Q8NI17
",Q9Y4K1,BioGrid
IL31RA,HEPHL1,"Q8NI17
",Q6MZM0,BioGrid
IL31RA,PLCD1,"Q8NI17
",P51178,BioGrid
IL31RA,VSIG8,"Q8NI17
",Q5VU13,BioGrid
IL31RA,DSG4,"Q8NI17
",Q86SJ6,BioGrid
IL31RA,DUSP14,"Q8NI17
",O95147,BioGrid
IL31RA,LRRC15,"Q8NI17
",Q8TF66,BioGrid
IL31RA,SELENBP1,"Q8NI17
",Q13228,BioGrid
IL31RA,NEU2,"Q8NI17
",Q9Y3R4,BioGrid
IL31RA,PKP3,"Q8NI17
",Q9Y446,BioGrid
IL31RA,ACPP,"Q8NI17
",P15309,BioGrid
IL31RA,CALML3,"Q8NI17
",P27482,BioGrid
IL6ST,TLE1,P40189,Q04724,BioGrid
IL6ST,CNTFR,P40189,P26992,BioGrid
CNTFR,IL6ST,P26992,P40189,BioGrid
AR,IL6ST,P10275,P40189,BioGrid
LIFR,IL6ST,P42702,P40189,BioGrid
CDK9,IL6ST,P50750,P40189,BioGrid
JAK1,IL6ST,P23458,P40189,BioGrid
JAK1,IL6ST,P23458,P40189,BioGrid
IL6R,IL6ST,P08887,P40189,BioGrid
IL6ST,PTPN11,P40189,Q06124,BioGrid
IL6ST,SOCS3,P40189,O14543,BioGrid
IL6ST,SOCS3,P40189,O14543,BioGrid
IL6ST,PTPN6,P40189,P29350,BioGrid
SHC1,IL6ST,P29353,P40189,BioGrid
SHC1,IL6ST,P29353,P40189,BioGrid
IL6ST,JAK1,P40189,P23458,BioGrid
IL6ST,PRKCD,P40189,Q05655,BioGrid
IL6ST,STAT3,P40189,P40763,BioGrid
IL6ST,PIK3R1,P40189,P27986,BioGrid
HCK,IL6ST,P08631,P40189,BioGrid
IL6ST,ERBB2,P40189,P04626,BioGrid
ERBB2,IL6ST,P04626,P40189,BioGrid
IL6ST,ERBB3,P40189,P21860,BioGrid
IL6ST,VAV1,P40189,P15498,BioGrid
IL6ST,GRB2,P40189,P62993,BioGrid
IL6ST,GRB2,P40189,P62993,BioGrid
IL6ST,LIFR,P40189,P42702,BioGrid
IL6ST,OSMR,P40189,Q99650,BioGrid
IL6ST,TLE1,P40189,Q04724,BioGrid
IL6ST,PTPN11,P40189,Q06124,BioGrid
IL6ST,JAK1,P40189,P23458,BioGrid
IL6ST,JAK2,P40189,O60674,BioGrid
IL6ST,TYK2,P40189,P29597,BioGrid
IL6ST,PTPN11,P40189,Q06124,BioGrid
IL6ST,SOCS3,P40189,O14543,BioGrid
IL6ST,PTPN11,P40189,Q06124,BioGrid
IL6ST,MAGEA11,P40189,P43364,BioGrid
IL6ST,UBQLN1,P40189,Q9UMX0,BioGrid
IL6ST,KCNIP3,P40189,Q9Y2W7,BioGrid
IL6ST,SGTB,P40189,Q96EQ0,BioGrid
PYCARD,IL6ST,Q9ULZ3,P40189,BioGrid
OSM,IL6ST,P13725,P40189,BioGrid
SOCS3,IL6ST,O14543,P40189,BioGrid
OSM,IL6ST,P13725,P40189,BioGrid
CDH1,IL6ST,P12830,P40189,BioGrid
NR2C2,JAZF1,P49116,86VZ6,BioGrid
JAZF1,PPARG,86VZ6,P37231,BioGrid
JAZF1,RXRA,86VZ6,P19793,BioGrid
YEATS4,JAZF1,O95619,86VZ6,BioGrid
YEATS4,JAZF1,O95619,86VZ6,BioGrid
TRRAP,JAZF1,Q9Y4A5,86VZ6,BioGrid
MEAF6,JAZF1,Q9HAF1,86VZ6,BioGrid
RUVBL1,JAZF1,Q9Y265,86VZ6,BioGrid
MORF4L2,JAZF1,Q15014,86VZ6,BioGrid
MYCL,JAZF1,P12524,86VZ6,BioGrid
YEATS4,JAZF1,O95619,86VZ6,BioGrid
HIST1H2BA,JAZF1,Q96A08,86VZ6,BioGrid
Ruvbl1,JAZF1,,86VZ6,BioGrid
LACC1,SIN3A,Q8IV20,Q96ST3,BioGrid
LACC1,NUFIP2,Q8IV20,Q7Z417,BioGrid
LACC1,ARID4B,Q8IV20,Q4LE39,BioGrid
LACC1,GPATCH8,Q8IV20,Q9UKJ3,BioGrid
LACC1,BRMS1L,Q8IV20,Q5PSV4,BioGrid
LACC1,OSER1,Q8IV20,Q9NX31,BioGrid
LACC1,HEPHL1,Q8IV20,Q6MZM0,BioGrid
LACC1,TSNAX,Q8IV20,Q99598,BioGrid
LACC1,SERPINB5,Q8IV20,P36952,BioGrid
LACC1,PPP2CA,Q8IV20,P67775,BioGrid
LACC1,SUDS3,Q8IV20,Q9H7L9,BioGrid
LACC1,PKP3,Q8IV20,Q9Y446,BioGrid
LACC1,ALMS1,Q8IV20,Q8TCU4,BioGrid
LACC1,SELENBP1,Q8IV20,Q13228,BioGrid
LACC1,DUSP14,Q8IV20,O95147,BioGrid
LACC1,LRRC15,Q8IV20,Q8TF66,BioGrid
LACC1,CKS2,Q8IV20,P33552,BioGrid
LACC1,HIST2H3PS2,Q8IV20,,BioGrid
LACC1,H3F3B,Q8IV20,P84243,BioGrid
LACC1,DSG4,Q8IV20,Q86SJ6,BioGrid
LACC1,ZBTB10,Q8IV20,Q96DT7,BioGrid
LACC1,HIST2H2AC,Q8IV20,Q16777,BioGrid
LACC1,ATG9B,Q8IV20,Q674R7,BioGrid
LACC1,VSIG8,Q8IV20,Q5VU13,BioGrid
LACC1,PLP2,Q8IV20,Q04941,BioGrid
PALM2,LACC1,Q8IXS6,Q8IV20,BioGrid
ORC4,LACC1,O43929,Q8IV20,BioGrid
DNAJB2,LACC1,P25686,Q8IV20,BioGrid
LACC1,PDGFRB,Q8IV20,P09619,BioGrid
SNX8,LACC1,Q9Y5X2,Q8IV20,BioGrid
LACC1,SERPINB5,Q8IV20,P36952,BioGrid
LACC1,ATG9B,Q8IV20,Q674R7,BioGrid
LACC1,HIST2H2AC,Q8IV20,Q16777,BioGrid
OSER1,LACC1,Q9NX31,Q8IV20,BioGrid
LACC1,H3F3B,Q8IV20,P84243,BioGrid
LACC1,TSNAX,Q8IV20,Q99598,BioGrid
ATP6V1G1,LACC1,O75348,Q8IV20,BioGrid
LACC1,DUSP14,Q8IV20,O95147,BioGrid
LACC1,BRMS1L,Q8IV20,Q5PSV4,BioGrid
LACC1,SUDS3,Q8IV20,Q9H7L9,BioGrid
LACC1,CKS2,Q8IV20,P33552,BioGrid
LACC1,HIST2H3PS2,Q8IV20,,BioGrid
TPT1,LACC1,P13693,Q8IV20,BioGrid
RAC1,LACC1,P63000,Q8IV20,BioGrid
DNAJB2,LACC1,P25686,Q8IV20,BioGrid
PALM2,LACC1,Q8IXS6,Q8IV20,BioGrid
LACC1,VSIG8,Q8IV20,Q5VU13,BioGrid
LACC1,HEPHL1,Q8IV20,Q6MZM0,BioGrid
LACC1,GPATCH8,Q8IV20,Q9UKJ3,BioGrid
LACC1,LYG2,Q8IV20,Q86SG7,BioGrid
LACC1,LRRC15,Q8IV20,Q8TF66,BioGrid
LACC1,ZBTB10,Q8IV20,Q96DT7,BioGrid
DLC1,LACC1,Q96QB1,Q8IV20,BioGrid
LACC1,DSG4,Q8IV20,Q86SJ6,BioGrid
LACC1,PKP3,Q8IV20,Q9Y446,BioGrid
LACC1,CALHM4,Q8IV20,Q5JW98,BioGrid
ORC4,LACC1,O43929,Q8IV20,BioGrid
LACC1,SELENBP1,Q8IV20,Q13228,BioGrid
LACC1,ARID4B,Q8IV20,Q4LE39,BioGrid
LACC1,SIN3A,Q8IV20,Q96ST3,BioGrid
LACC1,PLP2,Q8IV20,Q04941,BioGrid
LACC1,ACPP,Q8IV20,P15309,BioGrid
LACC1,ALMS1,Q8IV20,Q8TCU4,BioGrid
LGALS9,CTNNB1,O00182,P35222,BioGrid
LGALS9,JUP,O00182,P14923,BioGrid
LGALS9,SLC1A5,O00182,Q15758,BioGrid
LGALS9,P4HB,O00182,P07237,BioGrid
LGALS9,PDIA3,O00182,P30101,BioGrid
LGALS9,PDIA6,O00182,Q15084,BioGrid
LGALS9,PTPRK,O00182,Q15262,BioGrid
LGALS9,RNF13,O00182,O43567,BioGrid
LGALS9,KIAA0319L,O00182,Q8IZA0,BioGrid
LGALS9,ATP2B4,O00182,P23634,BioGrid
LGALS9,MET,O00182,P08581,BioGrid
LGALS9,SLC12A2,O00182,P55011,BioGrid
LGALS9,RRAGC,O00182,Q9HB90,BioGrid
LGALS9,MFAP3,O00182,P55082,BioGrid
LGALS9,COLEC12,O00182,Q5KU26,BioGrid
LGALS9,NID2,O00182,Q14112,BioGrid
LGALS9,ALCAM,O00182,Q13740,BioGrid
LGALS9,CD109,O00182,Q6YHK3,BioGrid
LGALS9,PTGFRN,O00182,Q9P2B2,BioGrid
LGALS9,NCR3LG1,O00182,Q68D85,BioGrid
LGALS9,SORL1,O00182,Q92673,BioGrid
LGALS9,PODXL,O00182,O00592,BioGrid
LGALS9,LAMB1,O00182,P07942,BioGrid
LGALS9,PTPRJ,O00182,Q12913,BioGrid
LGALS9,FN1,O00182,P02751,BioGrid
LGALS9,ZER1,O00182,Q7Z7L7,BioGrid
LGALS9,CD58,O00182,P19256,BioGrid
LGALS9,SLC12A4,O00182,Q9UP95,BioGrid
LGALS9,SLC12A6,O00182,Q9UHW9,BioGrid
LGALS9,LAMA4,O00182,Q16363,BioGrid
LGALS9,SLC29A1,O00182,Q99808,BioGrid
LGALS9,ATP11C,O00182,Q8NB49,BioGrid
LGALS9,NAGLU,O00182,P54802,BioGrid
LGALS9,LAMA1,O00182,P25391,BioGrid
LGALS9,LNPEP,O00182,Q9UIQ6,BioGrid
LGALS9,MAN2B1,O00182,O00754,BioGrid
LGALS9,PLXNA1,O00182,Q9UIW2,BioGrid
LGALS9,DAG1,O00182,Q14118,BioGrid
LGALS9,SLC4A7,O00182,Q9Y6M7,BioGrid
LGALS9,MRC2,O00182,Q9UBG0,BioGrid
LGALS9,ITGA4,O00182,P13612,BioGrid
LGALS9,SLC9A6,O00182,Q92581,BioGrid
LGALS9,SLC6A6,O00182,P31641,BioGrid
LGALS9,SLC12A7,O00182,Q9Y666,BioGrid
LGALS9,ENPP4,O00182,Q9Y6X5,BioGrid
LGALS9,ATP13A3,O00182,Q9H7F0,BioGrid
LGALS9,CD47,O00182,Q08722,BioGrid
LGALS9,ATP7A,O00182,Q04656,BioGrid
LGALS9,PTPN11,O00182,Q06124,BioGrid
LGALS9,LGALS3,O00182,P17931,BioGrid
LGALS9,RRAGB,O00182,Q5VZM2,BioGrid
LGALS9,FBLN1,O00182,P23142,BioGrid
LGALS9,ITGB1,O00182,P05556,BioGrid
LGALS9,SLC38A9,O00182,Q8NBW4,BioGrid
LGALS9,IGSF3,O00182,O75054,BioGrid
LGALS9,C2CD5,O00182,Q86YS7,BioGrid
LGALS9,MPZL1,O00182,O95297,BioGrid
LGALS9,LGALS9B,O00182,Q3B8N2,BioGrid
LGALS9,OSTM1,O00182,Q86WC4,BioGrid
LGALS9,LUM,O00182,P51884,BioGrid
LGALS9,CLCN3,O00182,P51790,BioGrid
LGALS9,CD63,O00182,P08962,BioGrid
LGALS9,PCDH9,O00182,Q9HC56,BioGrid
LGALS9,KIAA1549,O00182,Q9HCM3,BioGrid
LGALS9,ATG9A,O00182,Q7Z3C6,BioGrid
LGALS9,CSPG4,O00182,Q6UVK1,BioGrid
LGALS9,SLC12A9,O00182,Q9BXP2,BioGrid
LGALS9,SUSD5,O00182,O60279,BioGrid
LGALS9,SLC9A3R2,O00182,Q15599,BioGrid
